County,D0,D1,OTHER0,R0,R1
cook,6986.0,0.0,0.0,0.0,26133.0
will,384.0,0.0,0.0,0.0,2103.0
kankakee,1301.0,0.0,0.0,0.0,3903.0
dupage,1946.0,0.0,0.0,0.0,7230.0
kane,3037.0,0.0,0.0,0.0,10124.0
lake,1482.0,0.0,0.0,0.0,4578.0
mchenry,1590.0,0.0,0.0,0.0,5079.0
kendall,1512.0,0.0,0.0,0.0,5203.0
alexander,3843.0,0.0,0.0,0.0,11169.0
franklin,4125.0,0.0,0.0,0.0,7934.0
jackson,23990.0,0.0,0.0,0.0,48048.0
jefferson,19283.0,19890.0,0.0,9490.0,34904.0
madison,1232.0,0.0,0.0,0.0,6595.0
monroe,19927.0,0.0,0.0,0.0,59721.0
perry,844.0,0.0,0.0,0.0,2977.0
pulaski,428.0,0.0,0.0,0.0,2254.0
randolph,562.0,0.0,0.0,0.0,2198.0
st. clair,12996.0,8878.0,0.0,11014.0,35628.0
union,4711.0,0.0,0.0,0.0,16249.0
williamson,966.0,0.0,0.0,0.0,1559.0
bond,4518.0,0.0,0.0,0.0,13927.0
calhoun,10252.0,0.0,0.0,0.0,12238.0
champaign,4183.0,0.0,0.0,0.0,12449.0
christian,32370.0,0.0,0.0,21015.0,58016.0
dewitt,5778.0,0.0,0.0,0.0,15164.0
greene,2261.0,0.0,0.0,0.0,7607.0
jersey,803.0,0.0,0.0,0.0,1787.0
macon,3336.0,0.0,0.0,0.0,11356.0
macoupin,62682.0,0.0,0.0,0.0,61723.0
montgomery,2284.0,0.0,0.0,0.0,6536.0
mclean,9121.0,0.0,0.0,0.0,23965.0
piatt,1765.0,0.0,0.0,3900.0,1636.0
sangamon,0.0,0.0,0.0,0.0,2032.0
dekalb,8415.0,0.0,0.0,16970.0,22394.0
clark,0.0,0.0,0.0,0.0,12225.0
clay,0.0,0.0,0.0,0.0,5822.0
clinton,0.0,0.0,0.0,0.0,4643.0
coles,0.0,0.0,0.0,0.0,8764.0
crawford,0.0,0.0,0.0,0.0,29888.0
cumberland,0.0,0.0,0.0,0.0,16363.0
douglas,0.0,0.0,0.0,0.0,9671.0
edgar,0.0,0.0,0.0,0.0,6745.0
edwards,1983.0,0.0,0.0,6289.0,0.0
effingham,1163.0,0.0,0.0,5332.0,0.0
fayette,4508.0,0.0,0.0,14173.0,0.0
ford,8247.0,0.0,0.0,14133.0,0.0
gallatin,2274.0,0.0,0.0,7033.0,0.0
hamilton,1231.0,0.0,0.0,4542.0,0.0
hardin,2225.0,0.0,0.0,6412.0,0.0
jasper,1916.0,0.0,0.0,6140.0,0.0
johnson,458.0,0.0,0.0,2743.0,0.0
lawrence,3592.0,0.0,0.0,14870.0,0.0
marion,1880.0,0.0,0.0,7968.0,0.0
massac,1366.0,0.0,1.0,2344.0,3107.0
moultrie,663.0,0.0,0.0,1764.0,0.0
pope,907.0,0.0,0.0,3190.0,0.0
richland,473.0,0.0,0.0,1571.0,0.0
saline,981.0,0.0,0.0,4313.0,0.0
shelby,1270.0,0.0,0.0,4968.0,0.0
vermilion,1461.0,0.0,0.0,4589.0,0.0
wabash,4783.0,0.0,0.0,12296.0,0.0
washington,1734.0,0.0,0.0,4912.0,0.0
wayne,1739.0,0.0,0.0,4939.0,0.0
white,451.0,0.0,0.0,1646.0,0.0
boone,1775.0,0.0,0.0,6077.0,0.0
bureau,2835.0,0.0,0.0,7713.0,0.0
grundy,2661.0,0.0,0.0,9195.0,0.0
iroquois,9872.0,0.0,0.0,21204.0,0.0
lee,1218.0,0.0,0.0,4083.0,0.0
livingston,1680.0,0.0,0.0,5965.0,0.0
lasalle,1212.0,0.0,0.0,7010.0,0.0
ogle,1533.0,0.0,0.0,5648.0,0.0
putnam,8745.0,0.0,1.0,0.0,15813.0
stark,14061.0,9615.0,2.0,9902.0,13643.0
winnebago,7942.0,0.0,0.0,0.0,18108.0
carroll,2186.0,0.0,0.0,0.0,11645.0
fulton,5319.0,0.0,0.0,0.0,10400.0
henderson,3430.0,0.0,0.0,0.0,13448.0
henry,19954.0,0.0,1.0,0.0,32214.0
jodaviess,7706.0,0.0,2.0,0.0,18350.0
knox,1197.0,0.0,0.0,0.0,2133.0
mercer,24824.0,155770.0,73.0,147252.0,10419.0
peoria,37774.0,19325.0,0.0,10594.0,57530.0
rock island,5749.0,0.0,0.0,0.0,11541.0
stephenson,0.0,3300.0,0.0,4682.0,0.0
tazewell,0.0,7885.0,0.0,8592.0,0.0
warren,0.0,1433.0,0.0,2157.0,0.0
whiteside,0.0,10526.0,0.0,14963.0,0.0
adams,0.0,5436.0,0.0,6954.0,0.0
brown,0.0,11482.0,0.0,11316.0,0.0
cass,0.0,3765.0,0.0,4976.0,0.0
hancock,0.0,37651.0,0.0,28694.0,0.0
logan,0.0,9646.0,0.0,12261.0,0.0
marshall,0.0,3394.0,0.0,4422.0,0.0
mason,0.0,13400.0,0.0,13748.0,0.0
menard,152211.0,1530125.0,65217.0,499493.0,0.0
morgan,383.0,274928.0,30202.0,152076.0,0.0
mcdonough,0.0,129538.0,7141.0,91192.0,0.0
pike,0.0,198211.0,539.0,131474.0,0.0
schuyler,0.0,77396.0,1203.0,83093.0,0.0
scott,0.0,20703.0,0.0,28102.0,0.0
woodford,0.0,33057.0,0.0,28644.0,0.0
