County,D0,D1,OTHER0,R0,R1
cook,129937.0,1452320.0,13767.0,352239.0,58205.0
will,146148.0,0.0,24.0,0.0,150079.0
kankakee,133221.0,67490.0,1041.0,105594.0,112408.0
dupage,70502.0,25034.0,0.0,17661.0,82752.0
kane,14361.0,9235.0,0.0,6594.0,22247.0
lake,20792.0,138055.0,55.0,89716.0,35646.0
mchenry,1139.0,0.0,134.0,0.0,1412.0
kendall,5605.0,0.0,974.0,0.0,11759.0
alexander,9558.0,0.0,1850.0,0.0,12823.0
franklin,4388.0,0.0,1029.0,0.0,11023.0
jackson,41818.0,0.0,4424.0,0.0,75772.0
jefferson,5584.0,0.0,759.0,0.0,12717.0
madison,2547.0,0.0,295.0,0.0,6983.0
monroe,1022.0,0.0,112.0,0.0,1524.0
perry,4375.0,0.0,429.0,0.0,9307.0
pulaski,58719.0,0.0,6778.0,0.0,54031.0
randolph,2131.0,0.0,364.0,0.0,6019.0
st. clair,8061.0,0.0,1632.0,0.0,21497.0
union,647.0,0.0,0.0,0.0,5944.0
williamson,781.0,0.0,0.0,0.0,1672.0
bond,37567.0,0.0,0.0,0.0,47357.0
calhoun,2973.0,0.0,0.0,0.0,12306.0
champaign,1629.0,0.0,0.0,0.0,5779.0
christian,1254.0,0.0,0.0,0.0,4110.0
dewitt,2842.0,0.0,0.0,0.0,7743.0
greene,15827.0,0.0,0.0,0.0,31188.0
jersey,7332.0,0.0,0.0,0.0,14247.0
macon,3665.0,0.0,0.0,0.0,8961.0
macoupin,30541.0,0.0,3.0,0.0,48799.0
montgomery,2028.0,0.0,0.0,0.0,6918.0
mclean,32879.0,0.0,0.0,0.0,63426.0
piatt,6555.0,0.0,27.0,0.0,29421.0
sangamon,55053.0,0.0,0.0,0.0,84088.0
dekalb,0.0,0.0,0.0,0.0,6625.0
clark,0.0,0.0,0.0,0.0,5409.0
clay,0.0,0.0,0.0,0.0,15537.0
clinton,0.0,0.0,0.0,0.0,17774.0
coles,0.0,0.0,0.0,0.0,7581.0
crawford,0.0,0.0,0.0,0.0,4948.0
cumberland,0.0,0.0,0.0,0.0,7242.0
douglas,0.0,0.0,0.0,0.0,6782.0
edgar,0.0,0.0,0.0,0.0,2983.0
edwards,0.0,0.0,0.0,0.0,15365.0
effingham,0.0,0.0,0.0,0.0,8253.0
fayette,0.0,0.0,0.0,0.0,5660.0
ford,0.0,0.0,0.0,0.0,2014.0
gallatin,0.0,0.0,0.0,0.0,3304.0
hamilton,0.0,0.0,0.0,0.0,1819.0
hardin,0.0,0.0,0.0,0.0,4435.0
jasper,0.0,0.0,0.0,0.0,5199.0
johnson,0.0,0.0,0.0,0.0,5179.0
lawrence,0.0,0.0,0.0,0.0,14720.0
marion,0.0,0.0,0.0,0.0,5567.0
massac,0.0,0.0,0.0,0.0,5420.0
moultrie,0.0,0.0,0.0,0.0,1792.0
pope,0.0,0.0,0.0,0.0,6668.0
richland,0.0,0.0,0.0,0.0,9049.0
saline,0.0,0.0,0.0,0.0,9511.0
shelby,0.0,0.0,0.0,0.0,25371.0
vermilion,0.0,0.0,0.0,0.0,4729.0
wabash,0.0,0.0,0.0,0.0,6458.0
washington,0.0,0.0,0.0,0.0,7311.0
wayne,0.0,0.0,0.0,0.0,6278.0
white,0.0,0.0,6.0,0.0,18991.0
boone,0.0,0.0,4.0,0.0,13769.0
bureau,0.0,0.0,4.0,0.0,19640.0
grundy,0.0,0.0,5.0,0.0,11669.0
iroquois,0.0,0.0,8.0,0.0,13102.0
lee,0.0,0.0,10.0,0.0,13548.0
livingston,0.0,0.0,18.0,0.0,39890.0
lasalle,0.0,0.0,26.0,0.0,20757.0
ogle,0.0,0.0,0.0,0.0,2464.0
putnam,417.0,0.0,0.0,0.0,2189.0
stark,0.0,21213.0,13.0,9083.0,71972.0
winnebago,0.0,3988.0,0.0,3391.0,0.0
carroll,0.0,9690.0,0.0,5899.0,0.0
fulton,0.0,1796.0,0.0,1656.0,0.0
henderson,0.0,12924.0,0.0,11477.0,0.0
henry,0.0,5735.0,0.0,5360.0,0.0
jodaviess,0.0,12882.0,0.0,9486.0,0.0
knox,0.0,4587.0,0.0,3852.0,0.0
mercer,16357.0,21162.0,2.0,7972.0,33855.0
peoria,0.0,39209.0,0.0,24053.0,0.0
rock island,0.0,10341.0,0.0,9602.0,0.0
stephenson,11487.0,10575.0,1.0,8142.0,33822.0
tazewell,0.0,4233.0,0.0,3514.0,0.0
warren,0.0,14790.0,0.0,10456.0,0.0
whiteside,7718.0,0.0,0.0,0.0,23843.0
adams,418.0,0.0,0.0,0.0,1849.0
brown,1403.0,0.0,0.0,0.0,3612.0
cass,2092.0,0.0,0.0,0.0,6723.0
hancock,2527.0,0.0,0.0,0.0,9567.0
logan,1449.0,0.0,0.0,0.0,4379.0
marshall,1734.0,0.0,0.0,0.0,4669.0
mason,1341.0,0.0,1.0,0.0,5000.0
menard,3478.0,0.0,0.0,0.0,11101.0
morgan,4800.0,0.0,0.0,0.0,7944.0
mcdonough,1615.0,0.0,0.0,0.0,5661.0
pike,959.0,0.0,0.0,0.0,2746.0
schuyler,492.0,0.0,0.0,0.0,2051.0
scott,4628.0,0.0,0.0,0.0,14980.0
woodford,0.0,20881.0,0.0,24750.0,0.0
